portuguese,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,Present
a bordo,0,0,0,0,0,0,0,0,0,0,0
à deriva,0,1,0,1,0,1,0,1,0,0,1
a despeito de,0,0,0,0,0,0,0,0,0,0,0
a meio caminho,0,1,0,0,0,0,0,0,0,0,1
à moda,0,0,0,0,0,0,0,0,0,0,0
a paixão súbita,0,0,0,0,0,0,0,0,0,0,0
à prova d'água,1,0,0,0,0,0,0,0,0,0,1
a prova de balas,1,0,0,0,0,0,0,0,0,0,1
a prova de fogo,1,0,0,0,0,0,0,0,0,0,1
à risca,0,0,0,0,0,0,0,0,0,0,0
a si mesmo,0,0,0,0,0,0,0,0,0,0,0
aba,0,1,0,0,0,0,0,0,0,0,1
abacate,0,0,0,0,0,0,0,0,0,0,0
abacaxi,0,0,0,0,0,0,0,0,0,0,0
ábaco,0,0,0,0,0,0,0,0,0,1,1
abade,0,0,0,0,0,0,0,0,0,1,1
abafado,0,1,0,0,0,0,0,0,0,0,1
abafar,0,1,1,0,0,0,0,0,0,0,1
abaixando,0,1,0,0,0,0,0,0,0,0,1
abaixo,0,0,0,0,0,0,0,0,0,0,0
abalada,0,0,0,0,0,0,0,0,0,0,0
abanar,0,0,0,0,0,0,0,0,0,0,0
abandonado,0,1,1,0,0,1,0,1,0,0,1
abandonar,0,1,0,0,0,1,0,1,0,0,1
abandone,0,1,0,0,0,0,0,1,0,0,1
abandono,0,1,1,0,0,1,0,1,1,0,1
abarrotado,0,0,0,0,0,0,0,0,0,0,0
abastecimento de água,0,0,0,0,0,0,0,0,0,0,0
abate,0,1,1,0,1,1,0,1,1,0,1
abatido,0,1,0,0,0,0,0,1,0,0,1
abatimento,0,1,0,0,0,0,0,1,0,0,1
abba,1,0,0,0,0,0,0,0,0,0,1
abdômen,0,0,0,0,0,0,0,0,0,0,0
abdominal,0,0,0,0,0,0,0,0,0,0,0
abdução,0,1,0,0,0,1,0,1,1,0,1
abelha,0,0,1,0,0,1,0,0,0,0,1
abençoado,1,0,0,0,0,0,1,0,0,0,1
abençoe,1,0,0,1,0,0,1,0,0,1,1
aberração,0,1,0,0,1,0,0,0,0,0,1
aberrante,0,1,0,0,0,0,0,0,0,0,1
abertamente,0,0,0,0,0,0,0,0,0,0,0
aberto,0,0,0,0,0,0,0,0,0,0,0
abertos,0,0,0,0,0,1,0,0,0,0,1
abertura,0,0,0,1,0,0,0,0,0,0,1
abeto,1,0,0,0,0,0,0,0,0,0,1
abismal,0,1,0,0,0,0,0,1,0,0,1
abismo,0,1,0,0,0,1,0,1,0,0,1
abjeta,0,1,0,0,1,0,0,0,0,0,1
